set_label,set_number,set_stage,set_mutator,patch,trait_api_name,trait_name,breakpoints,desc_resolved,desc_raw,effects_json
Set 7,7,base,TFTSet7,12.15,Set7_Dragonmancer,Dragonmancer,3|6|9,"Use the Dragonmancer Blessing item to choose a Hero. The Hero gains massively increased Health and Ability Power, which increases by @StatIncreasePercent@% per star level of your Dragonmancers.
(3) +300 Health, +@BonusAP@ Ability Power 
(6) +750 Health, +@BonusAP@ Ability Power 
(9) +1400 Health, +@BonusAP@ Ability Power","Use the Dragonmancer Blessing item to choose a Hero. The Hero gains massively increased Health and Ability Power, which increases by @StatIncreasePercent@% per star level of your Dragonmancers.<br><br><expandRow>(@MinUnits@) +@BonusHealth@ Health, +@BonusAP@ Ability Power </expandRow>","[{""maxUnits"": 5, ""minUnits"": 3, ""style"": 1, ""variables"": {""BonusHealth"": 300.0, ""{89626cbc}"": 20.0, ""{d49caf5d}"": 18.0}}, {""maxUnits"": 8, ""minUnits"": 6, ""style"": 3, ""variables"": {""BonusHealth"": 750.0, ""{89626cbc}"": 20.0, ""{d49caf5d}"": 35.0}}, {""maxUnits"": 25000, ""minUnits"": 9, ""style"": 4, ""variables"": {""BonusHealth"": 1400.0, ""{89626cbc}"": 20.0, ""{d49caf5d}"": 70.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Evoker,Evoker,2|4|6,"Evokers gain Mana whenever an ally or enemy casts an Ability.
(2) @ManaAmount@ Mana
(4) @ManaAmount@ Mana
(6) @ManaAmount@ Mana",Evokers gain Mana whenever an ally or enemy casts an Ability.<br><br><expandRow>(@MinUnits@) @ManaAmount@ Mana</expandRow>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""{af2150c6}"": 3.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 3, ""variables"": {""{af2150c6}"": 7.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 4, ""variables"": {""{af2150c6}"": 12.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Guardian,Guardian,2|4|6,"Once per combat at @HealthThreshold@% Health, Guardians shield themselves and their closest ally for a percent of their maximum Health. Shields stack!
 (2) @ShieldPercentAmount@% of max health shield
 (4) @ShieldPercentAmount@% of max health shield
 (6) @ShieldPercentAmount@% of max health shield","Once per combat at @HealthThreshold@% Health, Guardians shield themselves and their closest ally for a percent of their maximum Health. Shields stack!<br><br><expandRow> (@MinUnits@) @ShieldPercentAmount@% of max health shield</expandRow>","[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""Duration"": 60.0, ""HealthThreshold"": 50.0, ""{a77cf7ad}"": 30.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 3, ""variables"": {""Duration"": 60.0, ""HealthThreshold"": 50.0, ""{a77cf7ad}"": 50.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 4, ""variables"": {""Duration"": 60.0, ""HealthThreshold"": 50.0, ""{a77cf7ad}"": 75.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Guild,Guild,1|2|3|4|5|6|7,"Grant a unique bonus to your team; Guild members gain double the amount. Increases for each Guild member in play!Sejuani: +@SejuaniBonus@ HealthTwitch: +@TwitchBonus*100@% Attack SpeedRyze: +@RyzeBonus@ Ability PowerTalon: +@TalonBonus@ Attack DamageBard: +@BardBonus@ Mana per attackEmblem: +@EmblemBonus*100@% Omnivamp
(1) @TooltipMultiplier@% Guild bonus
(2) @TooltipMultiplier@% Guild bonus
(3) @TooltipMultiplier@% Guild bonus
(4) @TooltipMultiplier@% Guild bonus
(5) @TooltipMultiplier@% Guild bonus
(6) @TooltipMultiplier@% Guild bonus
(7) @TooltipMultiplier@% Guild bonus",Grant a unique bonus to your team; Guild members gain double the amount. Increases for each Guild member in play!<br><br><TFTGuildActive enabled=TFT7_Trait_Guild_ActiveSejuani alternate=TFTGuildInactive>Sejuani: +@SejuaniBonus@ Health</TFTGuildActive><br><TFTGuildActive enabled=TFT7_Trait_Guild_ActiveTwitch alternate=TFTGuildInactive>Twitch: +@TwitchBonus*100@% Attack Speed</TFTGuildActive><br><TFTGuildActive enabled=TFT7_Trait_Guild_ActiveRyze alternate=TFTGuildInactive>Ryze: +@RyzeBonus@ Ability Power</TFTGuildActive><br><TFTGuildActive enabled=TFT7_Trait_Guild_ActiveTalon alternate=TFTGuildInactive>Talon: +@TalonBonus@ Attack Damage</TFTGuildActive><br><TFTGuildActive enabled=TFT7_Trait_Guild_ActiveBard alternate=TFTGuildInactive>Bard: +@BardBonus@ Mana per attack</TFTGuildActive><br><TFTGuildActive enabled=TFT7_Trait_Guild_ActiveEmblem alternate=TFTGuildInactive>Emblem: +@EmblemBonus*100@% Omnivamp</TFTGuildActive><br><br><expandRow>(@MinUnits@) @TooltipMultiplier@% Guild bonus</expandRow>,"[{""maxUnits"": 1, ""minUnits"": 1, ""style"": 1, ""variables"": {""{4a1c6695}"": 100.0, ""{6a4951ed}"": 2.0, ""{982e055c}"": 10.0, ""{a7c768e7}"": 100.0, ""{d2da7d1a}"": 8.0, ""{f809601e}"": 0.029999999329447746, ""{f9773fb7}"": 2.0, ""{fe9fc6fd}"": 0.10000000149011612}}, {""maxUnits"": 2, ""minUnits"": 2, ""style"": 1, ""variables"": {""{4a1c6695}"": 120.0, ""{6a4951ed}"": 2.4000000953674316, ""{982e055c}"": 12.0, ""{a7c768e7}"": 120.0, ""{d2da7d1a}"": 9.600000381469727, ""{f809601e}"": 0.035999998450279236, ""{f9773fb7}"": 2.0, ""{fe9fc6fd}"": 0.11999999731779099}}, {""maxUnits"": 3, ""minUnits"": 3, ""style"": 2, ""variables"": {""{4a1c6695}"": 140.0, ""{6a4951ed}"": 2.799999952316284, ""{982e055c}"": 14.0, ""{a7c768e7}"": 140.0, ""{d2da7d1a}"": 11.199999809265137, ""{f809601e}"": 0.041999999433755875, ""{f9773fb7}"": 2.0, ""{fe9fc6fd}"": 0.14000000059604645}}, {""maxUnits"": 4, ""minUnits"": 4, ""style"": 2, ""variables"": {""{4a1c6695}"": 160.0, ""{6a4951ed}"": 3.200000047683716, ""{982e055c}"": 16.0, ""{a7c768e7}"": 160.0, ""{d2da7d1a}"": 12.800000190734863, ""{f809601e}"": 0.04800000041723251, ""{f9773fb7}"": 2.0, ""{fe9fc6fd}"": 0.1599999964237213}}, {""maxUnits"": 5, ""minUnits"": 5, ""style"": 3, ""variables"": {""{4a1c6695}"": 180.0, ""{6a4951ed}"": 3.5999999046325684, ""{982e055c}"": 18.0, ""{a7c768e7}"": 180.0, ""{d2da7d1a}"": 14.399999618530273, ""{f809601e}"": 0.05400000140070915, ""{f9773fb7}"": 2.0, ""{fe9fc6fd}"": 0.18000000715255737}}, {""maxUnits"": 6, ""minUnits"": 6, ""style"": 4, ""variables"": {""{4a1c6695}"": 200.0, ""{6a4951ed}"": 4.0, ""{982e055c}"": 20.0, ""{a7c768e7}"": 200.0, ""{d2da7d1a}"": 16.0, ""{f809601e}"": 0.05999999865889549, ""{f9773fb7}"": 2.0, ""{fe9fc6fd}"": 0.20000000298023224}}, {""maxUnits"": 25000, ""minUnits"": 7, ""style"": 4, ""variables"": {""{4a1c6695}"": 250.0, ""{6a4951ed}"": 5.0, ""{982e055c}"": 25.0, ""{a7c768e7}"": 250.0, ""{d2da7d1a}"": 20.0, ""{f809601e}"": 0.07500000298023224, ""{f9773fb7}"": 2.0, ""{fe9fc6fd}"": 0.25}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Jade,Jade,3|6|9|12,"Summon movable Jade Statues that grow in power. Each combat, allies who start combat adjacent to a statue gain maximum Health healing every @Interval@ seconds and bonus Attack Speed. When a statue is destroyed, it deals @PercentHealth@% of its Health as magic damage to nearby enemies.(@MinUnits@) 1 statue, +@HealthRegen@% healing, +@AttackSpeed*100@% Attack Speed(@MinUnits@) 2 statues, +@HealthRegen@% healing, +@AttackSpeed*100@% Attack Speed(@MinUnits@) 3 statues, +@HealthRegen@% healing, +@AttackSpeed*100@% Attack Speed(@MinUnits@) 4 statues, +@HealthRegen@% healing, +@AttackSpeed*100@% Attack Speed","Summon movable Jade Statues that grow in power. <br><br>Each combat, allies who start combat adjacent to a statue gain maximum Health healing every @Interval@ seconds and bonus Attack Speed. When a statue is destroyed, it deals @PercentHealth@% of its Health as magic damage to nearby enemies.<br><br><row>(@MinUnits@) 1 statue, +@HealthRegen@% healing, +@AttackSpeed*100@% Attack Speed</row><br><row>(@MinUnits@) 2 statues, +@HealthRegen@% healing, +@AttackSpeed*100@% Attack Speed</row><br><row>(@MinUnits@) 3 statues, +@HealthRegen@% healing, +@AttackSpeed*100@% Attack Speed</row><br><row>(@MinUnits@) 4 statues, +@HealthRegen@% healing, +@AttackSpeed*100@% Attack Speed</row>","[{""maxUnits"": 5, ""minUnits"": 3, ""style"": 1, ""variables"": {""AttackSpeed"": 0.15000000596046448, ""HealthRegen"": 2.0, ""PercentHealth"": 33.0, ""{25dee9e0}"": 1.0, ""{288bc6fe}"": 0.25, ""{cedd8578}"": 2.0}}, {""maxUnits"": 8, ""minUnits"": 6, ""style"": 2, ""variables"": {""AttackSpeed"": 0.4000000059604645, ""HealthRegen"": 4.0, ""PercentHealth"": 33.0, ""{25dee9e0}"": 2.0, ""{288bc6fe}"": 0.25, ""{cedd8578}"": 2.0}}, {""maxUnits"": 11, ""minUnits"": 9, ""style"": 3, ""variables"": {""AttackSpeed"": 0.699999988079071, ""HealthRegen"": 8.0, ""PercentHealth"": 33.0, ""{25dee9e0}"": 3.0, ""{288bc6fe}"": 0.25, ""{cedd8578}"": 2.0}}, {""maxUnits"": 25000, ""minUnits"": 12, ""style"": 4, ""variables"": {""AttackSpeed"": 2.0, ""HealthRegen"": 25.0, ""PercentHealth"": 33.0, ""{25dee9e0}"": 4.0, ""{288bc6fe}"": 0.25, ""{cedd8578}"": 2.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Legend,Legend,3,"(3) Each combat: An adjacent ally champion sacrifices their life to the Legend, which gains @StatPercent@% of their Health, Armor, and Magic Resistance, plus @APPercent@% of their Ability Power.","(3) Each combat: An adjacent ally champion sacrifices their life to the Legend, which gains @StatPercent@% of their Health, Armor, and Magic Resistance, plus @APPercent@% of their Ability Power.","[{""maxUnits"": 25000, ""minUnits"": 3, ""style"": 3, ""variables"": {""{92c2d0ac}"": 100.0, ""{a68d353d}"": 30.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Mage,Mage,3|5|7|9,"Mages cast twice and have modified total Ability Power.
(3) @APMultiplier*100@% Ability Power
(5) @APMultiplier*100@% Ability Power
(7) @APMultiplier*100@% Ability Power
(9) @APMultiplier*100@% Ability Power",Mages cast twice and have modified total Ability Power.<br><br><expandRow>(@MinUnits@) @APMultiplier*100@% Ability Power</expandRow>,"[{""maxUnits"": 4, ""minUnits"": 3, ""style"": 1, ""variables"": {""{2afd498b}"": 0.75}}, {""maxUnits"": 6, ""minUnits"": 5, ""style"": 2, ""variables"": {""{2afd498b}"": 1.0}}, {""maxUnits"": 8, ""minUnits"": 7, ""style"": 3, ""variables"": {""{2afd498b}"": 1.25}}, {""maxUnits"": 25000, ""minUnits"": 9, ""style"": 4, ""variables"": {""{2afd498b}"": 1.5}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Mirage,Mirage,2|4|6|8,Mirage champions gain a different Trait bonus from game to game.,Mirage champions gain a different Trait bonus from game to game.,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""{03907b27}"": 40.0, ""{2c8fe3dc}"": 2.0, ""{34a68396}"": 20.0, ""{48ffe45c}"": 20.0, ""{67deaf34}"": 10.0, ""{7845f61e}"": 6.0, ""{7fb6d810}"": 50.0, ""{835c3290}"": 6.0, ""{9ea1c8a7}"": 50.0, ""{b04db727}"": 200.0, ""{bd0f4998}"": 8.0, ""{e32ac3a7}"": 20.0, ""{f25ff422}"": 10.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 2, ""variables"": {""{03907b27}"": 65.0, ""{2c8fe3dc}"": 4.0, ""{34a68396}"": 25.0, ""{48ffe45c}"": 30.0, ""{67deaf34}"": 10.0, ""{7845f61e}"": 10.0, ""{7fb6d810}"": 50.0, ""{835c3290}"": 12.0, ""{9ea1c8a7}"": 65.0, ""{b04db727}"": 300.0, ""{bd0f4998}"": 8.0, ""{e32ac3a7}"": 30.0, ""{f25ff422}"": 10.0}}, {""maxUnits"": 7, ""minUnits"": 6, ""style"": 3, ""variables"": {""{03907b27}"": 65.0, ""{2c8fe3dc}"": 6.0, ""{34a68396}"": 33.0, ""{48ffe45c}"": 45.0, ""{67deaf34}"": 10.0, ""{7845f61e}"": 14.0, ""{7fb6d810}"": 50.0, ""{835c3290}"": 20.0, ""{9ea1c8a7}"": 80.0, ""{b04db727}"": 450.0, ""{bd0f4998}"": 8.0, ""{e32ac3a7}"": 40.0, ""{f25ff422}"": 10.0}}, {""maxUnits"": 25000, ""minUnits"": 8, ""style"": 4, ""variables"": {""{03907b27}"": 110.0, ""{2c8fe3dc}"": 8.0, ""{34a68396}"": 50.0, ""{48ffe45c}"": 60.0, ""{67deaf34}"": 10.0, ""{7845f61e}"": 18.0, ""{7fb6d810}"": 50.0, ""{835c3290}"": 30.0, ""{9ea1c8a7}"": 100.0, ""{b04db727}"": 600.0, ""{bd0f4998}"": 8.0, ""{e32ac3a7}"": 50.0, ""{f25ff422}"": 10.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Mystic,Mystic,2|3|4|5,"Your team gains Magic Resist. 
(2) 50 Magic Resist
(3) 100 Magic Resist
(4) 175 Magic Resist
(5) 300 Magic Resist",Your team gains Magic Resist. <br><br><expandRow>(@MinUnits@) @MagicResist@ Magic Resist</expandRow>,"[{""maxUnits"": 2, ""minUnits"": 2, ""style"": 1, ""variables"": {""MagicResist"": 50.0}}, {""maxUnits"": 3, ""minUnits"": 3, ""style"": 2, ""variables"": {""MagicResist"": 100.0}}, {""maxUnits"": 4, ""minUnits"": 4, ""style"": 3, ""variables"": {""MagicResist"": 175.0}}, {""maxUnits"": 25000, ""minUnits"": 5, ""style"": 4, ""variables"": {""MagicResist"": 300.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Ragewing,Ragewing,3|6|9,"Innate: Convert Mana to Rage; attacks generate 15 Rage. After casting an Ability, enrage for 4 seconds: +25% Attack Speed but can't gain Rage.Gain bonus stats when enraged:(@MinUnits@) +@AttackSpeedPercent@% Attack Speed and +@Omnivamp@% Omnivamp (healing for a percentage of damage dealt)(@MinUnits@) +@AttackSpeedPercent@% Attack Speed and +@Omnivamp@% Omnivamp(@MinUnits@) +@AttackSpeedPercent@% Attack Speed and +@Omnivamp@% Omnivamp","Innate: Convert Mana to Rage; attacks generate 15 Rage. After casting an Ability, enrage for 4 seconds: +25% Attack Speed but can't gain Rage.<br><br>Gain bonus stats when enraged:<br><br><row>(@MinUnits@) +@AttackSpeedPercent@% Attack Speed and +@Omnivamp@% Omnivamp (healing for a percentage of damage dealt)</row><br><row>(@MinUnits@) +@AttackSpeedPercent@% Attack Speed and +@Omnivamp@% Omnivamp</row><br><row>(@MinUnits@) +@AttackSpeedPercent@% Attack Speed and +@Omnivamp@% Omnivamp</row>","[{""maxUnits"": 5, ""minUnits"": 3, ""style"": 1, ""variables"": {""{a8ca7859}"": 50.0, ""{ad16f688}"": 25.0}}, {""maxUnits"": 8, ""minUnits"": 6, ""style"": 2, ""variables"": {""{a8ca7859}"": 135.0, ""{ad16f688}"": 50.0}}, {""maxUnits"": 25000, ""minUnits"": 9, ""style"": 3, ""variables"": {""{a8ca7859}"": 250.0, ""{ad16f688}"": 75.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Revel,Revel,2|3|4|5,"After dealing damage with an Ability, launch a firecracker that deals magic damage to a random enemy.
(2) 110 magic damage
(3) 150 magic damage
(4) 210 magic damage
(5) 290 magic damage","After dealing damage with an Ability, launch a firecracker that deals magic damage to a random enemy.<br><br><expandRow>(@MinUnits@) @MagicDamage@ magic damage</expandRow>","[{""maxUnits"": 2, ""minUnits"": 2, ""style"": 1, ""variables"": {""MagicDamage"": 110.0}}, {""maxUnits"": 3, ""minUnits"": 3, ""style"": 2, ""variables"": {""MagicDamage"": 150.0}}, {""maxUnits"": 4, ""minUnits"": 4, ""style"": 3, ""variables"": {""MagicDamage"": 210.0}}, {""maxUnits"": 25000, ""minUnits"": 5, ""style"": 4, ""variables"": {""MagicDamage"": 290.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Scalescorn,Scalescorn,2|4|6,"Scalescorns take @PercentDamageReduction@% reduced damage from enemies with more than @HealthThreshold@ Health. If you don't have a Dragon on your team, they also deal a percent of their damage as additional magic damage.
(2) @PercentBonusDamage@% magic damage
(4) @PercentBonusDamage@% magic damage
(6) @PercentBonusDamage@% magic damage","Scalescorns take @PercentDamageReduction@% reduced damage from enemies with more than @HealthThreshold@ Health. If you don't have a Dragon on your team, they also deal a percent of their damage as additional magic damage.<br><br><expandRow>(@MinUnits@) @PercentBonusDamage@% magic damage</expandRow>","[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""HealthThreshold"": 2200.0, ""{bdd452e8}"": 20.0, ""{cb6b5298}"": 15.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 3, ""variables"": {""HealthThreshold"": 2200.0, ""{bdd452e8}"": 20.0, ""{cb6b5298}"": 50.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 4, ""variables"": {""HealthThreshold"": 2200.0, ""{bdd452e8}"": 20.0, ""{cb6b5298}"": 125.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Shapeshifter,Shapeshifter,2|4|6,"Transforming grants bonus maximum Health.
(2) 40% bonus Health
(4) 90% bonus Health
(6) 145% bonus Health",Transforming grants bonus maximum Health.<br><br><expandRow>(@MinUnits@) @HPPercent@% bonus Health</expandRow>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""HPPercent"": 40.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 2, ""variables"": {""HPPercent"": 90.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 3, ""variables"": {""HPPercent"": 145.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Shimmerscale,Shimmerscale,3|5|7|9,"Grant exclusive random Shimmerscale items.(@MinUnits@) @NumItems@ unique item(@MinUnits@) @NumItems@ unique items(@MinUnits@) @NumItems@ unique items(@MinUnits@) @NumItems@ unique items, which includes Crown of ChampionsYou can remove Shimmerscale items by benching the holder.","Grant exclusive random Shimmerscale items.<br><br><row>(@MinUnits@) @NumItems@ unique item</row><br><row>(@MinUnits@) @NumItems@ unique items</row><br><row>(@MinUnits@) @NumItems@ unique items</row><br><row>(@MinUnits@) @NumItems@ unique items, which includes Crown of Champions</row><br><br><tftitemrules>You can remove Shimmerscale items by benching the holder.</tftitemrules>","[{""maxUnits"": 4, ""minUnits"": 3, ""style"": 1, ""variables"": {""{6c216145}"": 1.0}}, {""maxUnits"": 6, ""minUnits"": 5, ""style"": 2, ""variables"": {""{6c216145}"": 2.0}}, {""maxUnits"": 8, ""minUnits"": 7, ""style"": 3, ""variables"": {""{6c216145}"": 4.0}}, {""maxUnits"": 25000, ""minUnits"": 9, ""style"": 4, ""variables"": {""{6c216145}"": 5.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_SpellThief,Spell Thief,1,(@MinUnits@) Zoe nabs a new Ability after each cast and at the start of every round.,(@MinUnits@) Zoe nabs a new Ability after each cast and at the start of every round.,"[{""maxUnits"": 25000, ""minUnits"": 1, ""style"": 3, ""variables"": {}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Starcaller,Starcaller,1,"(@MinUnits@) The first Starcaller to cast their Ability during player combat heals you for (@Tier1Heal@/@Tier2Heal@/@Tier3Heal@), depending on their star level. Excess healing disintegrates an enemy champion.","(@MinUnits@) The first Starcaller to cast their Ability during player combat heals you for (@Tier1Heal@/@Tier2Heal@/@Tier3Heal@), depending on their star level. Excess healing disintegrates an enemy champion.","[{""maxUnits"": 25000, ""minUnits"": 1, ""style"": 3, ""variables"": {""{1b929fa6}"": 1.0, ""{31d66d45}"": 1.0, ""{42df8264}"": 1.0, ""{4979f1a4}"": 2.0, ""{509811bd}"": 2.0, ""{56034ed0}"": 75.0, ""{9b24c7a2}"": 2.0, ""{f305b0e7}"": 3.0, ""{fa4f482e}"": 20.0, ""{fd44bf8b}"": 30.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Swiftshot,Swiftshot,2|4|6,"Innate: gain 2 hex Attack Range.Swiftshots gain Attack Speed for each hex between themselves and their target.
(2) 10% Attack Speed
(4) 20% Attack Speed
(6) 40% Attack Speed",Innate: gain 2 hex Attack Range.<br><br>Swiftshots gain Attack Speed for each hex between themselves and their target.<br><br><expandRow>(@MinUnits@) @BonusAS@% Attack Speed</expandRow>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""BonusAS"": 10.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 3, ""variables"": {""BonusAS"": 20.0}}, {""maxUnits"": 999, ""minUnits"": 6, ""style"": 4, ""variables"": {""BonusAS"": 40.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Tempest,Tempest,2|4|6|8,"After @DelayTime@ seconds, lightning strikes the battlefield. Enemies are stunned for @StunDuration@ second and take a percent of their maximum Health as true damage. Then, Tempest champions gain Attack Speed.
(2) 5% damage, 20% Attack Speed
(4) 20% damage, 50% Attack Speed
(6) 35% damage, 100% Attack Speed
(8) 50% damage, 200% Attack Speed","After @DelayTime@ seconds, lightning strikes the battlefield. Enemies are stunned for @StunDuration@ second and take a percent of their maximum Health as true damage. Then, Tempest champions gain Attack Speed.<br><br><expandRow>(@MinUnits@) @PercentHealthDamage@% damage, @AttackSpeed*100@% Attack Speed</expandRow>","[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""AttackSpeed"": 0.20000000298023224, ""BuffDuration"": 60.0, ""PercentHealthDamage"": 5.0, ""StunDuration"": 1.0, ""{17f82fb1}"": 8.0, ""{81ce23cf}"": 1.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 2, ""variables"": {""AttackSpeed"": 0.5, ""BuffDuration"": 60.0, ""PercentHealthDamage"": 20.0, ""StunDuration"": 1.0, ""{17f82fb1}"": 8.0, ""{81ce23cf}"": 2.0}}, {""maxUnits"": 7, ""minUnits"": 6, ""style"": 3, ""variables"": {""AttackSpeed"": 1.0, ""BuffDuration"": 60.0, ""PercentHealthDamage"": 35.0, ""StunDuration"": 1.0, ""{17f82fb1}"": 8.0, ""{81ce23cf}"": 3.0}}, {""maxUnits"": 25000, ""minUnits"": 8, ""style"": 4, ""variables"": {""AttackSpeed"": 2.0, ""BuffDuration"": 60.0, ""PercentHealthDamage"": 50.0, ""StunDuration"": 1.0, ""{17f82fb1}"": 8.0, ""{81ce23cf}"": 4.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Trainer,Trainer,2|3,"After combat, each Trainer feeds 1 Snax per star level to Nomsy, adding Health and Ability Power. Nomsy's star level increases every 25 Snax!(@MinUnits@) Summon Nomsy!(@MinUnits@) Nomsy's Ability deals @DamageInc*100@% more damage","After combat, each Trainer feeds 1 Snax per star level to Nomsy, adding Health and Ability Power. Nomsy's star level increases every 25 Snax!<br><br><row>(@MinUnits@) Summon Nomsy!</row><br><row>(@MinUnits@) Nomsy's Ability deals @DamageInc*100@% more damage</row>","[{""maxUnits"": 2, ""minUnits"": 2, ""style"": 1, ""variables"": {""{a848d452}"": 1.0, ""{cc4e6814}"": ""null""}}, {""maxUnits"": 25000, ""minUnits"": 3, ""style"": 3, ""variables"": {""{a848d452}"": 2.0, ""{cc4e6814}"": 2.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Warrior,Warrior,2|4|6,"Warrior attacks have a @ProcChance@% chance to increase the damage of their next attack.
(2) +80% damage
(4) +175% damage
(6) +325% damage",Warrior attacks have a @ProcChance@% chance to increase the damage of their next attack.<br><br><expandRow>(@MinUnits@) +@PercentDamage@% damage</expandRow>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""PercentDamage"": 80.0, ""{b4a90a5d}"": 50.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 3, ""variables"": {""PercentDamage"": 175.0, ""{b4a90a5d}"": 50.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 4, ""variables"": {""PercentDamage"": 325.0, ""{b4a90a5d}"": 50.0}}]"
Set 7,7,base,TFTSet7,12.15,Set7_Whispers,Whispers,2|4|6|8,"Whispers damage shrinks enemies, reducing their Armor and Magic Resist by 40% for @Duration@ seconds.When they damage a shrunken enemy, Whispers gain stacking bonuses:
(2) +@ADandAP@ Attack Damage and Ability Power
(4) +@ADandAP@ Attack Damage and Ability Power
(6) +@ADandAP@ Attack Damage and Ability Power
(8) +@ADandAP@ Attack Damage and Ability Power","Whispers damage shrinks enemies, reducing their Armor and Magic Resist by 40% for @Duration@ seconds.<br>When they damage a shrunken enemy, Whispers gain stacking bonuses:<br><br><expandRow>(@MinUnits@) +@ADandAP@ Attack Damage and Ability Power</expandRow>","[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""Duration"": 6.0, ""{08a84200}"": 1.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 2, ""variables"": {""Duration"": 6.0, ""{08a84200}"": 3.0}}, {""maxUnits"": 7, ""minUnits"": 6, ""style"": 3, ""variables"": {""Duration"": 6.0, ""{08a84200}"": 5.0}}, {""maxUnits"": 25000, ""minUnits"": 8, ""style"": 4, ""variables"": {""Duration"": 6.0, ""{08a84200}"": 8.0}}]"
Set 7.5,7,mid,TFTSet7_Stage2,12.22,Set7_Assassin,Assassin,2|4|6,"Innate: Leap to the enemy backline when combat starts.Assassins' Abilities can critically strike and they gain bonus Critical Strike Chance and bonus Critical Strike Damage.
(2) +@CritChanceAmpPercent@% Crit Chance and +@CritAmpPercent@% Crit Damage
(4) +@CritChanceAmpPercent@% Crit Chance and +@CritAmpPercent@% Crit Damage
(6) +@CritChanceAmpPercent@% Crit Chance and +@CritAmpPercent@% Crit Damage",Innate: Leap to the enemy backline when combat starts.<br><br>Assassins' Abilities can critically strike and they gain bonus Critical Strike Chance and bonus Critical Strike Damage.<br><br><expandRow>(@MinUnits@) +@CritChanceAmpPercent@% Crit Chance and +@CritAmpPercent@% Crit Damage</expandRow>,"[{""maxUnits"": 3, ""minUnits"": 2, ""style"": 1, ""variables"": {""{268f634e}"": 10.0, ""{9f2eb1e2}"": 20.0}}, {""maxUnits"": 5, ""minUnits"": 4, ""style"": 4, ""variables"": {""{268f634e}"": 25.0, ""{9f2eb1e2}"": 50.0}}, {""maxUnits"": 25000, ""minUnits"": 6, ""style"": 5, ""variables"": {""{268f634e}"": 75.0, ""{9f2eb1e2}"": 75.0}}]"
